type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,50000,25000,40724,4805,F,2255,2255,0,0
S,50000,25000,34420,17857,F,2613,2613,0,0
S,50000,25000,12566,6110,F,2950,2950,0,0
S,50000,25000,31566,13399,F,2921,2921,0,0
S,50000,25000,32707,22342,T,1692,3279,140,5
S,50000,25000,14465,6714,T,265,2703,117,4
S,50000,25000,42989,13318,F,3035,3035,0,0
S,50000,25000,3974,20727,F,2877,2877,0,0
S,50000,25000,48341,8076,F,3157,3157,0,0
S,50000,25000,2448,18064,T,1562,3328,169,5
S,50000,25000,32723,15217,F,3132,3132,0,0
S,50000,25000,1609,7852,T,42,3045,54,2
S,50000,25000,8744,3388,T,2436,3230,92,4
S,50000,25000,37640,23752,F,2867,2867,0,0
S,50000,25000,4169,22889,T,124,3080,77,3
S,50000,25000,38258,23253,F,3490,3490,0,0
S,50000,25000,27655,6304,F,2570,2570,0,0
S,50000,25000,34227,24837,F,2586,2586,0,0
S,50000,25000,26509,22440,F,2991,2991,0,0
S,50000,25000,29309,2222,T,2293,3375,148,5
S,50000,25000,20600,11917,T,2585,2924,124,4
S,50000,25000,25770,289,F,3360,3360,0,0
S,50000,25000,29119,21812,F,3025,3025,0,0
S,50000,25000,11322,21056,F,3329,3329,0,0
S,50000,25000,21839,9021,F,3163,3163,0,0
S,50000,25000,42621,5834,F,3278,3278,0,0
S,50000,25000,26775,13292,F,3262,3262,0,0
S,50000,25000,48049,6180,F,3423,3423,0,0
S,50000,25000,8407,11362,F,3263,3263,0,0
S,50000,25000,18641,346,T,169,3432,61,3
S,50000,25000,13347,20996,F,2877,2877,0,0
S,50000,25000,22705,12578,F,1931,1931,0,0
S,50000,25000,49841,10322,F,1880,1880,0,0
S,50000,25000,11208,6104,F,3081,3081,0,0
S,50000,25000,21964,24664,F,3140,3140,0,0
S,50000,25000,2138,20084,T,2147,2860,143,4
S,50000,25000,10544,12069,T,827,2764,129,4
S,50000,25000,31856,7040,F,3001,3001,0,0
S,50000,25000,28953,20825,F,2524,2524,0,0
S,50000,25000,44146,24730,F,3523,3523,0,0
S,50000,25000,31486,10641,F,3434,3434,0,0
S,50000,25000,19754,19542,F,2912,2912,0,0
S,50000,25000,28482,6237,F,2579,2579,0,0
S,50000,25000,38276,15083,T,1643,2791,155,5
S,50000,25000,16762,10624,F,3005,3005,0,0
S,50000,25000,21932,3621,F,3469,3469,0,0
S,50000,25000,23157,6703,F,2708,2708,0,0
S,50000,25000,47126,8703,T,254,2971,98,3
S,50000,25000,48478,23152,F,2978,2978,0,0
S,50000,25000,36937,7909,F,2340,2340,0,0
