type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,20000,8000,5502,791,F,3531,3531,0,0
S,20000,8000,2305,4942,T,187,4175,94,3
S,20000,8000,469,6575,F,4615,4615,0,0
S,20000,8000,337,1,T,2322,5349,181,5
S,20000,8000,669,2052,F,5230,5230,0,0
S,20000,8000,15608,4489,F,5155,5155,0,0
S,20000,8000,14847,1682,T,2243,5316,177,5
S,20000,8000,1488,1956,T,989,4633,139,4
S,20000,8000,9725,401,F,4450,4450,0,0
S,20000,8000,10881,2682,T,3617,5473,172,6
S,20000,8000,2060,2392,T,2392,4800,117,4
S,20000,8000,16177,7566,T,1361,2113,96,4
S,20000,8000,9829,7306,T,3343,5182,261,7
S,20000,8000,8270,1549,T,425,3429,154,4
S,20000,8000,19027,3322,T,4266,5228,172,5
S,20000,8000,4043,620,F,4532,4532,0,0
S,20000,8000,10841,5962,T,2669,4476,94,4
S,20000,8000,10148,3348,T,1678,4078,184,5
S,20000,8000,14686,2921,T,377,1169,121,3
S,20000,8000,5982,3028,T,3992,4607,177,6
S,20000,8000,6512,5175,T,2800,4360,210,6
S,20000,8000,15007,6768,T,1499,3230,126,4
S,20000,8000,6637,6968,T,3081,4439,162,5
S,20000,8000,17620,5712,T,3956,4277,161,5
S,20000,8000,12116,6514,T,4180,4750,181,6
S,20000,8000,19930,7882,T,1148,3836,120,4
S,20000,8000,6334,6508,T,61,5046,54,2
S,20000,8000,14838,2552,T,1681,4141,157,5
S,20000,8000,15735,1916,T,3478,4869,196,6
S,20000,8000,7500,4668,T,2428,4612,153,5
S,20000,8000,10799,762,T,3748,4784,170,6
S,20000,8000,19379,3044,F,5331,5331,0,0
S,20000,8000,1423,4860,T,1138,4736,138,4
S,20000,8000,6170,576,T,539,4372,64,3
S,20000,8000,4181,2055,T,1861,4611,87,4
S,20000,8000,8658,7341,T,935,4560,81,4
S,20000,8000,13665,1065,T,3674,5055,151,6
S,20000,8000,7355,304,T,1624,3357,111,4
S,20000,8000,10939,3869,F,4082,4082,0,0
S,20000,8000,590,1550,T,2931,4952,178,6
S,20000,8000,2055,6297,F,4444,4444,0,0
