type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,20000,10000,8968,279,T,1386,1386,230,7
S,20000,10000,3121,9067,T,6,6,60,2
S,20000,10000,4215,1018,T,1686,1686,134,4
S,20000,10000,2745,8484,T,32,32,40,2
S,20000,10000,13796,9750,T,871,871,71,4
S,20000,10000,10685,12,T,2576,2576,174,7
S,20000,10000,9489,8614,T,2155,2155,231,8
S,20000,10000,7615,615,T,5289,5289,92,6
S,20000,10000,6858,9140,T,1512,1512,110,4
S,20000,10000,4435,3117,T,2722,2722,201,8
S,20000,10000,5660,7396,T,3810,3810,160,5
S,20000,10000,18322,4570,T,2249,2249,238,6
S,20000,10000,10452,4324,T,561,561,211,7
S,20000,10000,3119,8543,T,5780,5780,166,5
S,20000,10000,1189,5831,T,5028,5028,216,7
S,20000,10000,1167,7426,T,4652,4652,208,6
S,20000,10000,13242,5205,T,680,680,97,4
S,20000,10000,9625,6594,T,10160,10160,259,9
S,20000,10000,6741,1360,T,1463,1463,203,8
S,20000,10000,16933,945,T,786,786,223,7
S,20000,10000,17643,5243,T,4949,4949,179,8
S,20000,10000,10761,7455,T,1676,1676,120,6
S,20000,10000,8866,621,T,4992,4992,254,8
S,20000,10000,15433,2790,T,1054,1054,219,7
S,20000,10000,18546,6244,T,2537,2537,181,6
S,20000,10000,2216,8874,T,6202,6202,244,8
S,20000,10000,14769,6597,F,10830,10830,0,0
S,20000,10000,11922,2063,T,336,336,156,7
S,20000,10000,6328,7300,T,1131,1131,221,7
S,20000,10000,221,5047,F,10102,10102,0,0
S,20000,10000,11089,866,T,2732,2732,274,9
S,20000,10000,1845,6466,T,40,40,98,3
S,20000,10000,11749,153,T,315,315,266,8
S,20000,10000,10515,7155,T,1350,1350,145,6
S,20000,10000,11126,7761,T,1234,1234,321,9
S,20000,10000,11227,6645,T,5338,5338,232,7
S,20000,10000,8996,1912,T,2000,2000,211,6
S,20000,10000,13747,9510,T,2397,2397,222,7
S,20000,10000,12588,9862,T,207,207,195,8
S,20000,10000,6976,8038,T,564,564,150,5
S,20000,10000,7874,7085,T,5683,5683,281,9
S,20000,10000,13082,7133,T,2220,2220,210,8
S,20000,10000,18823,5559,T,2167,2167,222,8
S,20000,10000,7005,3524,F,11465,11465,0,0
S,20000,10000,14520,6579,T,353,353,265,7
S,20000,10000,16726,23,F,10250,10250,0,0
S,20000,10000,10994,5645,T,1629,1629,141,4
S,20000,10000,15690,8434,T,3847,3847,222,8
S,20000,10000,7314,1462,T,9083,9083,196,7
S,20000,10000,8943,1837,T,7065,7065,317,9
S,20000,10000,13544,4366,T,6900,6900,227,7
S,20000,10000,6905,4704,T,2381,2381,169,7
S,20000,10000,6506,2403,T,542,542,143,4
S,20000,10000,634,2008,T,580,580,146,4
S,20000,10000,17154,4,T,568,568,178,7
S,20000,10000,19501,8927,T,3962,3962,291,10
S,20000,10000,7631,4567,T,7826,7826,288,8
S,20000,10000,18765,7670,T,897,897,152,5
S,20000,10000,1052,5848,T,2068,2068,215,8
S,20000,10000,9895,3877,T,688,688,161,5
S,20000,10000,7724,5608,T,2493,2493,167,6
S,20000,10000,8260,621,T,6265,6265,165,7
S,20000,10000,11813,3475,T,3003,3003,235,8
S,20000,10000,6008,214,T,5556,5556,233,8
S,20000,10000,5239,4610,T,112,112,178,6
S,20000,10000,1391,3864,T,800,800,151,5
S,20000,10000,10057,7782,T,1341,1341,185,6
S,20000,10000,11495,4739,T,104,104,114,3
S,20000,10000,3856,3082,T,2012,2012,110,4
S,20000,10000,4259,9567,T,2779,2779,216,8
S,20000,10000,5292,7246,T,3851,3851,256,9
S,20000,10000,6464,7467,T,6856,6856,289,8
S,20000,10000,10912,6744,T,4556,4556,135,4
S,20000,10000,2904,8383,T,1436,1436,147,5
S,20000,10000,4626,3492,T,4622,4622,293,9
S,20000,10000,1239,1339,T,483,483,88,4
S,20000,10000,3313,9601,T,1024,1024,114,4
S,20000,10000,1549,6322,T,6174,6174,257,10
S,20000,10000,18137,2728,T,11475,11475,178,9
S,20000,10000,16196,7990,T,13598,13598,302,10
S,20000,10000,9898,2399,T,858,858,131,4
S,20000,10000,8063,9396,T,717,717,193,8
S,20000,10000,19579,6345,T,6917,6917,121,6
S,20000,10000,13388,7434,T,1745,1745,214,7
S,20000,10000,6258,9552,T,3144,3144,105,4
S,20000,10000,1845,582,T,5033,5033,207,6
S,20000,10000,17596,819,T,1843,1843,251,8
S,20000,10000,3842,3034,T,7642,7642,245,7
S,20000,10000,1982,8488,T,556,556,182,5
S,20000,10000,16345,389,T,2789,2789,166,6
S,20000,10000,7144,8150,T,8190,8190,276,8
S,20000,10000,1658,2572,T,8771,8771,195,8
S,20000,10000,17432,7966,T,1018,1018,203,6
S,20000,10000,11922,7809,T,1666,1666,197,8
S,20000,10000,3188,1849,T,993,993,168,5
S,20000,10000,7166,5010,T,3073,3073,215,7
S,20000,10000,17445,7383,T,3065,3065,196,7
S,20000,10000,9410,5719,T,1866,1866,196,6
S,20000,10000,19529,3567,T,2988,2988,183,5
S,20000,10000,4025,5981,T,130,130,30,2
S,20000,10000,18674,3600,T,247,247,171,5
S,20000,10000,16608,4875,T,4704,4704,140,7
S,20000,10000,8584,7238,T,8286,8286,295,8
S,20000,10000,5783,5880,T,784,784,127,5
S,20000,10000,7749,9012,T,822,822,284,7
S,20000,10000,7180,4274,T,2942,2942,212,8
S,20000,10000,14318,63,T,3502,3502,193,7
S,20000,10000,18788,9454,T,1673,1673,98,5
S,20000,10000,16584,4957,T,3305,3305,361,11
S,20000,10000,19075,3202,T,3454,3454,239,7
S,20000,10000,17884,3766,T,4053,4053,244,7
S,20000,10000,11653,6697,T,3196,3196,156,6
S,20000,10000,9358,7295,T,9933,9933,230,8
S,20000,10000,17426,5635,T,5165,5165,189,7
S,20000,10000,11904,3473,T,1094,1094,196,6
S,20000,10000,3530,5356,T,8403,8403,240,7
S,20000,10000,7787,431,T,807,807,150,7
S,20000,10000,3556,2520,T,3305,3305,204,6
S,20000,10000,824,8395,T,804,804,129,4
S,20000,10000,11872,5859,T,2128,2128,163,4
S,20000,10000,18726,6935,T,5020,5020,228,7
S,20000,10000,1741,7858,T,31,31,42,2
S,20000,10000,19654,6543,T,68,68,129,4
S,20000,10000,14785,9480,T,2544,2544,296,10
S,20000,10000,6546,4897,T,4387,4387,193,6
S,20000,10000,9238,4823,T,3431,3431,208,7
S,20000,10000,9991,1362,T,3491,3491,249,6
S,20000,10000,15577,3731,T,2162,2162,235,8
S,20000,10000,1919,2823,T,3796,3796,209,6
S,20000,10000,8082,7836,T,5796,5796,281,10
S,20000,10000,5236,1856,T,60,60,157,5
S,20000,10000,15517,7564,T,3859,3859,253,7
S,20000,10000,12677,6467,T,2648,2648,225,7
S,20000,10000,4278,7278,T,2085,2085,89,4
S,20000,10000,19540,2883,T,2198,2198,266,8
S,20000,10000,4029,3709,T,2770,2770,140,6
S,20000,10000,14095,9020,T,5934,5934,249,10
S,20000,10000,6679,5155,T,5634,5634,249,9
S,20000,10000,16614,3507,T,1121,1121,146,5
S,20000,10000,12284,5786,T,569,569,175,7
S,20000,10000,7638,5745,T,5110,5110,193,6
S,20000,10000,6750,899,T,1688,1688,280,8
S,20000,10000,8910,1876,T,2513,2513,211,7
S,20000,10000,13165,9712,T,1193,1193,255,7
S,20000,10000,16638,7907,T,4932,4932,229,9
S,20000,10000,9277,6011,T,3262,3262,355,10
S,20000,10000,12001,6290,T,301,301,161,6
S,20000,10000,11502,6965,T,8011,8011,134,6
S,20000,10000,9115,7677,T,2683,2683,295,10
S,20000,10000,13481,590,T,5240,5240,363,10
S,20000,10000,1658,3553,T,8884,8884,244,8
